model_idx,avg_collision_rate,avg_overtake_rate
339,0.96,0.04
340,0.93,0.03
341,0.96,0.01
342,0.94,0.01
343,0.98,0.01
344,0.97,0.01
345,0.95,0.03
346,0.93,0.05
347,0.98,0.01
348,0.99,0.01
349,0.97,0.01
350,0.95,0.05
351,0.93,0.07
352,0.95,0.04
353,0.97,0.01
354,0.99,0.01
355,0.96,0.03
356,0.97,0.01
357,0.96,0.03
358,0.95,0.02
359,0.92,0.03
360,0.96,0.03
361,0.95,0.02
362,0.97,0.03
363,0.96,0.03
364,0.92,0.04
365,0.97,0.02
366,0.94,0.02
367,0.97,0.01
368,0.97,0.03
369,0.96,0.01
370,0.96,0.02
371,0.97,0
372,0.98,0.01
373,0.96,0.03
374,0.95,0.02
375,0.96,0.02
376,0.94,0.04
377,0.94,0.02
378,0.92,0.04
379,0.93,0.05
380,0.98,0.02
381,0.95,0.01
382,0.96,0
383,0.95,0.02
384,0.96,0
385,0.95,0
386,0.96,0.02
387,0.96,0.01
388,0.94,0.03
389,0.95,0.04
390,0.95,0
391,0.91,0.05
392,0.93,0.03
393,0.99,0.01
394,0.97,0.02
395,0.93,0.01
396,0.93,0.05
397,0.92,0.03
398,0.95,0.02
399,0.93,0.02
400,0.95,0.02
401,0.94,0.03
402,0.96,0.04
403,0.95,0.03
404,0.92,0.02
405,0.95,0.02
406,0.97,0
407,0.93,0.02
408,0.96,0.03
409,0.98,0.02
410,0.91,0.02
411,0.95,0.02
412,0.94,0.06
413,0.96,0
414,0.93,0.07
415,0.96,0.03
416,0.97,0.01
417,0.96,0.03
418,0.96,0.04
419,0.96,0.01
420,0.94,0.05
421,0.94,0.03
422,0.99,0.01
423,0.94,0.04
424,0.96,0.04
425,0.96,0.03
426,0.91,0.03
427,0.98,0.02
428,0.95,0.05
429,0.97,0.03
430,0.95,0.03
431,0.94,0.01
432,0.87,0.02
433,0.97,0.03
434,0.91,0.08
435,0.98,0.02
436,0.97,0.01
437,0.96,0.02
438,0.95,0.01
439,0.96,0.01
440,0.99,0
441,0.94,0.06
442,0.92,0.03
443,0.92,0.05
444,0.96,0.04
445,0.96,0
446,0.9,0.1
447,0.98,0.02
448,0.92,0.02
449,0.97,0
450,0.96,0.02
451,0.96,0.02
452,0.96,0.03
453,0.97,0.03
454,0.97,0.03
455,0.96,0.02
456,0.94,0.03
457,0.92,0.05
458,0.96,0.04
459,0.94,0.02
460,0.98,0
461,0.94,0.04
462,0.92,0.08
463,0.97,0.03
464,0.97,0.03
465,0.94,0.03
466,0.92,0.04
467,0.96,0.03
468,0.95,0.03
469,0.96,0.03
470,0.95,0.01
471,0.97,0.02
472,0.96,0.04
473,0.91,0.04
474,0.97,0.01
475,0.93,0.02
476,0.93,0.02
477,0.91,0
478,0.96,0.03
479,0.94,0
480,0.96,0.02
481,0.98,0.01
482,0.93,0.04
483,0.97,0.03
484,0.93,0.04
485,0.98,0.01
486,0.95,0.05
487,0.96,0.01
488,0.96,0.03
489,0.96,0.02
490,0.98,0.02
491,0.96,0.01
492,0.96,0.02
493,0.94,0.01
494,0.89,0.06
495,0.94,0.02
496,0.96,0.01
497,0.94,0.02
498,0.97,0.03
499,0.96,0.03
